Customer_id,Date,Name,City,Product name,Category,Quantity,Price per product,Total bill
33542,2026-01-17,Fiyaz More,Hyderabad,blush,beauty_product,2,2475,4950
9408,2026-10-10,Saksham Thaker,Kolkata,Dish set,home_kichen,4,491,1964
18640,2026-06-30,Pushti Sundaram,Jamnagar,Dish set,home_kichen,3,655,1965
29790,2026-05-16,Kashvi Sundaram,Jamnagar,fan,electric,2,50227,100454
16772,2026-01-22,Hemang Kothari,Surat,AC,electric,2,50347,100694
18865,2026-05-04,Sudiksha Sani,junagath,fridge,electric,4,50048,200192
38303,2026-03-19,Ijaya Hari,junagath,powder,beauty_product,4,2415,9660
2572,2025-12-31,Sara Sekhon,Gandhinahagr,lipstick,beauty_product,4,2829,11316
41773,2026-08-16,Avi Rege,Jamnagar,crockery,home_kichen,1,793,793
24962,2026-09-20,Nilima Pradhan,Surat,spoon,home_kichen,4,733,2932
1586,2026-02-16,Pranav Dayal,Surat,foundation,beauty_product,2,2831,5662
30285,2026-02-18,Avi Ram,Bombay,blush,beauty_product,5,2773,13865
4469,2026-05-23,Wridesh Comar,Surat,bowl,home_kichen,4,602,2408
2918,2025-11-16,Qarin Bahl,Ahemdabad,TV,electric,3,50283,150849
36321,2026-06-18,Ishani Vasa,surendranagar,kurti,cloth,2,1635,3270
39922,2026-01-15,Robert Bava,Gandhinahagr,TV,electric,2,49978,99956
42182,2025-11-23,Saumya Basak,Gandhinahagr,suit,cloth,5,1454,7270
32989,2026-05-08,Yatan Kade,junagath,blush,beauty_product,4,2969,11876
2851,2026-01-31,Adweta Ramanathan,Gandhinahagr,foundation,beauty_product,3,2608,7824
50752,2026-03-15,Saumya Date,Bangalore,Dish set,home_kichen,3,789,2367
47736,2026-08-28,Jason Boase,Gandhinahagr,crockery,home_kichen,3,878,2634
20353,2026-07-09,Isaac Kaur,surendranagar,foundation,beauty_product,2,2568,5136
23480,2025-12-11,Upadhriti Naidu,Rajkot,pent,cloth,5,1580,7900
33659,2026-08-21,Hemani Batta,Kolkata,suit,cloth,5,1564,7820
48682,2026-07-11,Utkarsh Varghese,Hyderabad,AC,electric,5,49902,249510
41374,2026-02-01,Isha Mane,Surat,kurti,cloth,2,1670,3340
50528,2026-01-31,Yadavi Samra,Jamnagar,t shirt,cloth,3,1567,4701
16875,2026-04-13,Kamya Chander,Rajkot,TV,electric,1,50345,50345
32598,2026-01-24,Owen Iyer,Bombay,powder,beauty_product,4,2617,10468
46586,2026-07-17,Nachiket Raval,Surat,foundation,beauty_product,4,2514,10056
30308,2026-08-22,Zashil Babu,junagath,tube light,electric,3,50389,151167
30392,2026-05-23,Aarnav Goda,Surat,kurti,cloth,4,1830,7320
12816,2026-02-27,Siya Lad,Kolkata,crockery,home_kichen,3,869,2607
22439,2026-05-10,Tanay Bobal,junagath,short top,cloth,4,1544,6176
11142,2026-05-15,Anya Devi,Ahemdabad,pent,cloth,1,1947,1947
11453,2026-07-16,Zaid Palla,Rajkot,Dish set,home_kichen,4,527,2108
23647,2026-06-04,Aishani Gulati,Jamnagar,lipstick,beauty_product,4,2502,10008
49158,2026-05-03,Mason Mammen,Kolkata,pent,cloth,1,1783,1783
30136,2026-09-08,Arin Virk,Gandhinahagr,cooler,electric,4,50144,200576
30931,2026-06-27,Farhan Mishra,surendranagar,Dish set,home_kichen,3,419,1257
38177,2026-09-23,Amruta Chakrabarti,Bangalore,Dish set,home_kichen,3,716,2148
15626,2026-10-19,Utkarsh Rout,Ahemdabad,bowl,home_kichen,5,945,4725
7460,2026-03-25,Qadim Datta,Gandhinahagr,pent,cloth,2,1625,3250
34190,2026-05-20,Pahal Dass,Ahemdabad,fan,electric,5,49917,249585
1012,2026-07-15,Chatresh Issac,Kolkata,cooler,electric,5,50431,252155
40601,2026-05-01,Alexander Dewan,Kolkata,spoon,home_kichen,1,751,751
13489,2026-10-27,Wishi Sane,surendranagar,spoon,home_kichen,3,993,2979
48256,2026-09-21,Widisha Swamy,Gandhinahagr,powder,beauty_product,5,2583,12915
44895,2026-05-27,Andrew Wable,Rajkot,washingmachine,electric,1,50287,50287
12385,2026-01-29,Hredhaan Warrior,surendranagar,bowl,home_kichen,3,917,2751
48886,2026-04-06,Farhan Saraf,Gandhinahagr,fan,electric,4,50238,200952
48485,2026-07-23,Avni Dugar,Bangalore,cooler,electric,3,49925,149775
30849,2026-05-18,Zashil Sagar,Gandhinahagr,suit,cloth,2,1565,3130
34667,2025-11-09,Daniel Mani,Bangalore,blush,beauty_product,4,2993,11972
46132,2026-04-02,Nandini Raju,Kolkata,foundation,beauty_product,1,2439,2439
40675,2026-10-21,Wakeeta Mishra,Gandhinahagr,shirt,cloth,4,1932,7728
35334,2026-02-10,Rachit Khosla,Ahemdabad,Dish set,home_kichen,2,437,874
13439,2026-08-15,Yatin Bahl,Rajkot,spoon,home_kichen,4,904,3616
45669,2026-05-25,Lajita Divan,junagath,Dish set,home_kichen,4,907,3628
